Meter Consumption ID,Usage/Quantity,Cost ($),Start Date,End Date,Meter Name
1703780679,14180,10836,7/1/14,7/31/14,NG1
1703780680,20028,13811,8/1/14,8/31/14,NG1
1703780681,39542,27384,9/1/14,9/30/14,NG1
1703780682,95456,66040,10/1/14,10/31/14,NG1
1703780683,108002,73989,11/1/14,11/30/14,NG1
1703780684,50537,38184,12/1/14,12/31/14,NG1
1703780685,117502,75876,1/1/15,1/31/15,NG1
1703780686,81052,49688,2/1/15,2/28/15,NG1
1703780687,81975,48302,3/1/15,3/31/15,NG1
1703780688,16711,9544,4/1/15,4/30/15,NG1
1703780689,130284,69852,5/1/15,5/31/15,NG1
1703780690,108236,60417,6/1/15,6/30/15,NG1
4246737694,1121555.2,Not Available,7/1/15,8/31/16,NG1
2388893796,81285.74,50891.62,9/1/16,9/30/16,NG1
2388893795,89108.53,56964.66,10/1/16,10/31/16,NG1
2388893794,66105.76,41072.19,11/1/16,11/30/16,NG1
2388892054,205579.62,136857.21,12/1/16,12/31/16,NG1
2388890735,332327.15,199905.41,1/1/17,1/31/17,NG1
2388889693,270702.77,182991.49,2/1/17,2/28/17,NG1
2388888539,228282.96,135675.27,3/1/17,3/31/17,NG1
2388886587,52526.29,34706.11,4/1/17,4/30/17,NG1
2388886562,86650.4,55730.75,5/1/17,5/31/17,NG1
2388886483,70815.06,46813.57,6/1/17,6/30/17,NG1
2388886366,95724.43,61423.96,7/1/17,7/31/17,NG1
2388885887,111309.96,70186.02,8/1/17,8/31/17,NG1
2388885173,154562.96,92278.66,9/1/17,9/30/17,NG1
2388885135,83294.19,52484.51,10/1/17,10/31/17,NG1
2388884921,80742.14,49803.47,11/1/17,11/30/17,NG1
2388883995,99718.19,65537.29,12/1/17,12/31/17,NG1
2388883535,95568.58,58732.97,1/1/18,1/31/18,NG1
2388883154,78824.58,56206.68,2/1/18,2/28/18,NG1
2388879251,194525.81,116813.22,3/1/18,3/31/18,NG1
2388878922,186627.43,112337.17,4/1/18,4/30/18,NG1
2388878782,140527,86716.18,5/1/18,5/31/18,NG1
2465836756,125254.15,78089.14,6/1/18,6/30/18,NG1
2465843121,102728.42,65500.28,7/1/18,7/31/18,NG1
2467085327,80252.84,49776.07,8/1/18,8/31/18,NG1
2547719989,188003.49,117335.05,9/1/18,9/30/18,NG1
